Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Tarih_Gun,Sehir
10:50 AM,57ʡF,48ʡF,72ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
11:20 AM,57ʡF,48ʡF,72ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
11:50 AM,55ʡF,48ʡF,77ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
12:20 PM,57ʡF,50ʡF,77ʡ%,SSW,12ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
12:50 PM,57ʡF,50ʡF,77ʡ%,SSW,9ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
1:20 PM,57ʡF,50ʡF,77ʡ%,SW,9ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
1:50 PM,55ʡF,50ʡF,82ʡ%,SW,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Light Rain,2024-01-02,Istanbul
2:20 PM,55ʡF,52ʡF,88ʡ%,SW,7ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Light Rain,2024-01-02,Istanbul
2:50 PM,55ʡF,52ʡF,88ʡ%,SW,6ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain,2024-01-02,Istanbul
3:20 PM,55ʡF,52ʡF,88ʡ%,W,8ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Cloudy,2024-01-02,Istanbul
3:50 PM,54ʡF,52ʡF,94ʡ%,SW,6ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain,2024-01-02,Istanbul
4:20 PM,54ʡF,52ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
4:50 PM,54ʡF,52ʡF,94ʡ%,WSW,3ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
5:20 PM,55ʡF,52ʡF,88ʡ%,WSW,16ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
5:50 PM,55ʡF,52ʡF,88ʡ%,W,14ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
6:20 PM,50ʡF,48ʡF,94ʡ%,N,14ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
6:50 PM,50ʡF,46ʡF,87ʡ%,N,13ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Light Rain Shower,2024-01-02,Istanbul
7:20 PM,48ʡF,46ʡF,93ʡ%,N,13ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Rain Shower,2024-01-02,Istanbul
7:50 PM,48ʡF,46ʡF,93ʡ%,N,9ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
8:20 PM,48ʡF,46ʡF,93ʡ%,N,10ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
8:50 PM,48ʡF,46ʡF,93ʡ%,N,8ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
9:20 PM,48ʡF,46ʡF,93ʡ%,NNE,8ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Cloudy,2024-01-02,Istanbul
9:50 PM,48ʡF,45ʡF,87ʡ%,NNE,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Cloudy,2024-01-02,Istanbul
10:20 PM,46ʡF,45ʡF,93ʡ%,NE,6ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
10:50 PM,48ʡF,46ʡF,93ʡ%,ENE,5ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-02,Istanbul
11:20 PM,48ʡF,46ʡF,93ʡ%,NE,5ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Cloudy,2024-01-02,Istanbul
11:50 PM,48ʡF,46ʡF,93ʡ%,VAR,1ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Cloudy,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
,,,,,,,,,,2024-01-02,Istanbul
12:20 AM,48ʡF,46ʡF,93ʡ%,NNW,3ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
12:50 AM,48ʡF,46ʡF,93ʡ%,N,2ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
1:20 AM,48ʡF,46ʡF,93ʡ%,N,3ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
1:50 AM,48ʡF,46ʡF,93ʡ%,N,3ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
2:20 AM,48ʡF,45ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
2:50 AM,46ʡF,45ʡF,93ʡ%,N,5ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Partly Cloudy,2024-01-03,Istanbul
3:20 AM,46ʡF,45ʡF,93ʡ%,VAR,1ʡmph,0ʡmph,29.82ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
3:50 AM,45ʡF,43ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
4:20 AM,46ʡF,45ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
4:50 AM,45ʡF,45ʡF,100ʡ%,VAR,2ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Partly Cloudy,2024-01-03,Istanbul
5:20 AM,46ʡF,46ʡF,100ʡ%,CALM,0ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
5:50 AM,48ʡF,46ʡF,93ʡ%,CALM,0ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Cloudy,2024-01-03,Istanbul
6:20 AM,50ʡF,48ʡF,94ʡ%,ESE,3ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
6:50 AM,48ʡF,46ʡF,93ʡ%,VAR,2ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
7:20 AM,48ʡF,46ʡF,93ʡ%,SE,1ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
7:50 AM,48ʡF,46ʡF,93ʡ%,S,2ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Patches of Fog,2024-01-03,Istanbul
8:20 AM,48ʡF,46ʡF,93ʡ%,SE,2ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
8:50 AM,52ʡF,52ʡF,100ʡ%,SSE,5ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
9:20 AM,52ʡF,52ʡF,100ʡ%,SE,3ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mist,2024-01-03,Istanbul
9:50 AM,54ʡF,50ʡF,88ʡ%,SSW,10ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
10:20 AM,55ʡF,52ʡF,88ʡ%,SSW,12ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Partly Cloudy,2024-01-03,Istanbul
10:50 AM,55ʡF,52ʡF,88ʡ%,SSW,12ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
11:20 AM,55ʡF,50ʡF,82ʡ%,SSW,13ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
11:50 AM,55ʡF,50ʡF,82ʡ%,SSW,13ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
12:20 PM,57ʡF,50ʡF,77ʡ%,SSW,13ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
12:50 PM,57ʡF,50ʡF,77ʡ%,SSW,12ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
1:20 PM,57ʡF,50ʡF,77ʡ%,SSW,13ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
1:50 PM,59ʡF,52ʡF,77ʡ%,SSW,14ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
2:20 PM,57ʡF,52ʡF,82ʡ%,SW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
2:50 PM,57ʡF,52ʡF,82ʡ%,SSW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
3:20 PM,57ʡF,52ʡF,82ʡ%,SSW,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-03,Istanbul
3:50 PM,57ʡF,52ʡF,82ʡ%,SSW,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
4:20 PM,57ʡF,52ʡF,82ʡ%,SSW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
4:50 PM,57ʡF,52ʡF,82ʡ%,SSW,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
5:20 PM,57ʡF,52ʡF,82ʡ%,SSW,8ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
5:50 PM,57ʡF,52ʡF,82ʡ%,SSW,8ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
6:20 PM,57ʡF,52ʡF,82ʡ%,WSW,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
6:50 PM,57ʡF,52ʡF,82ʡ%,W,12ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
7:20 PM,55ʡF,52ʡF,88ʡ%,W,12ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
7:50 PM,55ʡF,52ʡF,88ʡ%,WSW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
8:20 PM,55ʡF,52ʡF,88ʡ%,WSW,8ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
8:50 PM,57ʡF,50ʡF,77ʡ%,W,17ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
9:20 PM,55ʡF,50ʡF,82ʡ%,W,13ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
9:50 PM,55ʡF,50ʡF,82ʡ%,W,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
10:20 PM,55ʡF,50ʡF,82ʡ%,WSW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
10:50 PM,54ʡF,48ʡF,82ʡ%,W,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
11:20 PM,54ʡF,48ʡF,82ʡ%,WSW,10ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
11:50 PM,54ʡF,48ʡF,82ʡ%,WSW,8ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
,,,,,,,,,,2024-01-03,Istanbul
12:20 AM,52ʡF,50ʡF,94ʡ%,WSW,6ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
12:50 AM,52ʡF,48ʡF,88ʡ%,VAR,1ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
1:20 AM,52ʡF,50ʡF,94ʡ%,NNW,5ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
1:50 AM,52ʡF,48ʡF,88ʡ%,NW,6ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
2:20 AM,54ʡF,48ʡF,82ʡ%,W,6ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
2:50 AM,54ʡF,50ʡF,88ʡ%,WSW,6ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
3:20 AM,52ʡF,48ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
3:50 AM,52ʡF,50ʡF,94ʡ%,ESE,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
4:20 AM,54ʡF,50ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
4:50 AM,54ʡF,48ʡF,82ʡ%,VAR,1ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
5:20 AM,52ʡF,48ʡF,88ʡ%,VAR,2ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
5:50 AM,54ʡF,48ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
6:20 AM,54ʡF,50ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
6:50 AM,52ʡF,50ʡF,94ʡ%,E,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
7:20 AM,54ʡF,50ʡF,88ʡ%,ESE,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
7:50 AM,55ʡF,50ʡF,82ʡ%,NW,3ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
8:20 AM,54ʡF,50ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
8:50 AM,54ʡF,52ʡF,94ʡ%,VAR,2ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
9:20 AM,55ʡF,50ʡF,82ʡ%,SSW,12ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
9:50 AM,55ʡF,50ʡF,82ʡ%,SSW,13ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
10:20 AM,55ʡF,50ʡF,82ʡ%,S,14ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
10:50 AM,57ʡF,50ʡF,77ʡ%,SSW,15ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Partly Cloudy,2024-01-04,Istanbul
11:20 AM,57ʡF,50ʡF,77ʡ%,SSW,14ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
11:50 AM,57ʡF,50ʡF,77ʡ%,SSW,12ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
12:20 PM,59ʡF,52ʡF,77ʡ%,SSW,12ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
12:50 PM,50ʡF,46ʡF,87ʡ%,WNW,5ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
1:20 PM,50ʡF,46ʡF,87ʡ%,W,6ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
1:50 PM,50ʡF,46ʡF,87ʡ%,W,6ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
2:20 PM,52ʡF,46ʡF,82ʡ%,NW,6ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
2:50 PM,52ʡF,46ʡF,82ʡ%,NNE,9ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
3:20 PM,52ʡF,46ʡF,82ʡ%,N,10ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
3:50 PM,52ʡF,46ʡF,82ʡ%,N,12ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
4:20 PM,52ʡF,46ʡF,82ʡ%,N,9ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Fair,2024-01-04,Istanbul
4:50 PM,52ʡF,46ʡF,82ʡ%,NNE,12ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
5:20 PM,52ʡF,46ʡF,82ʡ%,NNE,12ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
5:50 PM,50ʡF,46ʡF,87ʡ%,NNE,12ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
6:20 PM,50ʡF,46ʡF,87ʡ%,NE,9ʡmph,0ʡmph,30.12ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
6:50 PM,57ʡF,52ʡF,82ʡ%,SW,7ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Light Rain Shower,2024-01-04,Istanbul
7:20 PM,57ʡF,52ʡF,82ʡ%,WSW,10ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Light Rain Shower,2024-01-04,Istanbul
7:50 PM,57ʡF,52ʡF,82ʡ%,WSW,8ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Light Rain Shower,2024-01-04,Istanbul
8:20 PM,57ʡF,52ʡF,82ʡ%,W,10ʡmph,0ʡmph,29.56ʡin,0.0ʡin,Mostly Cloudy,2024-01-04,Istanbul
